"","AmE_wordform","DE_wordform","ES_wordform","NLD_orthg_AmE_DE","NLD_orthg_AmE_ES","NLD_orthg_DE_ES","NLD_phonoL_AmE_DE","NLD_phonoL_AmE_ES","NLD_phonoL_DE_ES","Subtlex_ES_log10.abs.1.","length","type"
"1","moral","Moral","moral",1,1,1,0.721,0.828,0.838,2.901,5,"three_way_cognate"
"2","tumor","Tumor","tumor",1,1,1,0.567,0.746,0.72,2.767,5,"three_way_cognate"
"3","disco","Disco","disco",1,1,1,0.96,0.932,0.972,3.282,5,"three_way_cognate"
"4","flora","Flora","flora",1,1,1,0.721,0.828,0.838,2.09,5,"three_way_cognate"
"5","extra","extra","extra",1,1,1,0.834,0.857,0.865,3.248,5,"three_way_cognate"
"6","horror","Horror","horror",1,1,1,0.594,0.575,0.242,2.658,6,"three_way_cognate"
"7","albino","Albino","albino",1,1,1,0.86,0.826,0.9,1.477,6,"three_way_cognate"
"8","kilo","Kilo","kilo",1,1,1,0.865,0.915,0.95,2.49,4,"three_way_cognate"
"9","portal","Portal","portal",1,1,1,0.657,0.807,0.733,2.657,6,"three_way_cognate"
"10","drama","Drama","drama",1,1,1,0.641,0.788,0.798,2.736,5,"three_way_cognate"
"11","golf","Golf","golf",1,1,1,0.95,0.9,0.95,3.129,4,"three_way_cognate"
"12","dogma","Dogma","dogma",1,1,1,0.888,0.768,0.88,1.38,5,"three_way_cognate"
"13","plan","Plan","plan",1,1,1,0.925,0.975,0.95,3.848,4,"three_way_cognate"
"14","aura","Aura","aura",1,1,1,0.497,0.473,0.548,2.009,4,"three_way_cognate"
"15","test","Test","test",1,1,1,1,0.95,0.95,2.652,4,"three_way_cognate"
"16","chat","Chat","chat",1,1,1,0.975,0.975,0.95,1.845,4,"three_way_cognate"
"17","clan","Clan","clan",1,1,1,0.925,0.975,0.95,2.342,4,"three_way_cognate"
"18","altar","Altar","altar",1,1,1,0.64,0.788,0.76,2.529,5,"three_way_cognate"
"19","mafia","Mafia","mafia",1,1,1,0.648,0.648,1,2.732,5,"three_way_cognate"
"20","trauma","Trauma","trauma",1,1,1,0.681,0.657,0.699,2.59,6,"three_way_cognate"
"21","hotel","Hotel","hotel",1,1,1,0.96,0.72,0.76,3.66,5,"three_way_cognate"
"22","mango","Mango","mango",1,1,1,0.94,0.94,1,2.336,5,"three_way_cognate"
"23","plural","Plural","plural",1,1,1,0.711,0.833,0.832,1.881,6,"three_way_cognate"
"24","retina","Retina","retina",1,1,1,0.631,0.673,0.824,1.716,6,"three_way_cognate"
"25","vigor","Kraft","vigor",0,1,0,0.228,0.705,0.262,1.785,5,"two_way_cognate"
"26","enigma","Rätsel","enigma",0,1,0,0.23,0.812,0.226,2.114,6,"two_way_cognate"
"27","piano","Klavier","piano",0.143,1,0.143,0.445,0.74,0.573,2.951,5,"two_way_cognate"
"28","ardor","Inbrunst","ardor",0.125,1,0.125,0.384,0.727,0.45,1.672,5,"two_way_cognate"
